id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,s,NULL,ALL,NULL,NULL,NULL,NULL,8610,33.33,"Using where; Using temporary"
1,SIMPLE,e,NULL,eq_ref,PRIMARY,PRIMARY,4,employee.s.emp_no,1,100.00,NULL
